,rmse,Location,Perturbation Type
0,2.091412511381477,Core,Node
1,3.275959744441866,Core,Node
2,2.668656288611427,Core,Node
3,2.9045176180692143,Core,Node
4,3.0565046021020015,Core,Node
5,2.770024626572988,Core,Node
6,2.501154898846899,Core,Node
7,2.8664059513156173,Core,Node
8,2.842202282025174,Core,Node
9,0.2596234314407085,Core,Node
0,6.915204784080055,Periphery,Node
1,4.754124669971986,Periphery,Node
2,6.507446394493308,Periphery,Node
3,7.137664321014822,Periphery,Node
4,6.416357250640273,Periphery,Node
5,6.60755408267142,Periphery,Node
6,6.315666140843868,Periphery,Node
7,6.97763123645678,Periphery,Node
8,7.034569160777176,Periphery,Node
9,6.871619408638583,Periphery,Node
0,0.4648274056393428,Core,Edge
1,2.8545015784647036,Core,Edge
2,3.618802414130197,Core,Edge
3,0.6099952133180849,Core,Edge
4,2.836171143275353,Core,Edge
5,2.37152020465138,Core,Edge
6,2.977781896856497,Core,Edge
7,2.801194831098325,Core,Edge
8,2.5995603762995256,Core,Edge
9,1.1444876434981484,Core,Edge
0,6.915204784080055,Periphery,Edge
1,4.754124669971986,Periphery,Edge
2,6.507446394493308,Periphery,Edge
3,7.137664321014822,Periphery,Edge
4,6.416357250640273,Periphery,Edge
5,6.60755408267142,Periphery,Edge
6,6.315666140843868,Periphery,Edge
7,6.97763123645678,Periphery,Edge
8,7.034569160777176,Periphery,Edge
9,6.8716194086385824,Periphery,Edge
